sample	dataset
HDZ-381-S327	culi
HDZ-382-S328	warble
HDZ-398-S329	culi
HDZ-399-S330	warble
HDZ-400-S331	culi
HDZ-401-S332	culi
HDZ-402-S333	warble
HDZ-403-S334	warble
HDZ-405-S335	culi
HDZ-406-S336	warble
HDZ-407-S337	warble
HDZ-408-S338	culi
HDZ-409-S339	warble
HDZ-441-S340	warble
HDZ-446-S341	warble
HDZ-447-S342	warble
HDZ-451-S343	warble
HDZ-452-S344	culi
HDZ-453-S345	warble
HDZ-049-E1-S346	warble
HDZ-201-E1-S347	culi
HDZ-202-E1-S348	culi
HDZ-410-E1-S349	warble
HDZ-411-E1-S350	warble
HDZ-418-E1-S351	warble
HDZ-419-E1-S352	warble
HDZ-427-E1-S353	warble
HDZ-428-E1-S354	warble
HDZ-429-E1-S355	culi
HDZ-435-E1-S356	warble
HDZ-436-E1-S357	warble
HDZ-454-E1-S358	warble
HDZ-455-E1-S359	warble
HDZ-456-E1-S360	warble
HDZ-457-E1-S361	warble
HDZ-458-E1-S362	warble
HDZ-459-E1-S363	warble
HDZ-460-E1-S364	warble
HDZ-467-E1-S365	warble
HDZ-468-E1-S366	warble
HDZ-469-E1-S367	warble
HDZ-470-E1-S368	warble
HDZ-461-S369	warble
HDZ-462-S370	warble
HDZ-463-S371	warble
HDZ-464-S372	warble
HDZ-465-S373	warble
HDZ-466-S374	warble
HDZ-473-S375	warble
HDZ-474-S376	warble
HDZ-475-S377	warble
HDZ-476-S378	warble
HDZ-477-S379	warble
HDZ-478-S380	warble
HDZ-479-S381	warble
HDZ-480-S382	warble
HDZ-481-S383	warble
HDZ-482-S384	warble
HDZ-483-S385	warble
HDZ-484-S386	warble
HDZ-485-S387	warble
HDZ-486-S388	warble
HDZ-487-S389	warble
HDZ-488-S390	warble
HDZ-489-S391	warble
HDZ-490-S392	warble
HDZ-491-S393	warble
HDZ-492-S394	warble
HDZ-493-S395	warble
HDZ-494-S396	warble
HDZ-495-S397	warble
HDZ-496-S398	warble
HDZ-497-S399	warble
HDZ-498-S400	warble
HDZ-499-S401	warble
HDZ-500-S402	warble
HDZ-501-S403	warble
HDZ-502-S404	warble
HDZ-503-S405	warble
HDZ-504-S406	warble
HDZ-506-S407	warble
HDZ-507-S408	warble
HDZ-508-S409	warble
HDZ-509-S410	warble
HDZ-510-S411	warble
HDZ-517-S412	warble
HDZ-522-S413	warble
HDZ-525-S414	warble
HDZ-049-E1-S346b	warble
HDZ-201-E1-S347b	culi
HDZ-202-E1-S348b	culi
HDZ-410-E1-S349b	warble
HDZ-411-E1-S350b	warble
HDZ-418-E1-S351b	warble
HDZ-419-E1-S352b	warble
HDZ-427-E1-S353b	warble
HDZ-428-E1-S354b	warble
HDZ-429-E1-S355b	culi
HDZ-435-E1-S356b	warble
HDZ-436-E1-S357b	warble
HDZ-454-E1-S358b	warble
HDZ-455-E1-S359b	warble
HDZ-456-E1-S360b	warble
HDZ-457-E1-S361b	warble
HDZ-458-E1-S362b	warble
HDZ-459-E1-S363b	warble
HDZ-460-E1-S364b	warble
HDZ-467-E1-S365b	warble
HDZ-468-E1-S366b	warble
HDZ-469-E1-S367b	warble
HDZ-470-E1-S368b	warble
HDZ-076-S24	culi
HDZ-079-S25	warble
HDZ-068-S26	warble
HDZ-078-S27	culi
HDZ-015-S28	warble
HDZ-070-S29	warble
HDZ-018-S30	culi
HDZ-022-S31	culi
HDZ-027-S32	warble
HDZ-039-S33	culi
HDZ-072-S34	warble
HDZ-084-S35	culi
HDZ-028-S36	culi
HDZ-030-S37	warble
HDZ-077-S38	culi
HDZ-083-S39	warble
HDZ-081-S40	culi
HDZ-033-S43	warble
HDZ-034-S44	warble
HDZ-038-S45	culi
HDZ-032-S46	culi
HDZ-177-S47	warble
HDZ-046-S48	culi
HDZ-045-S49	warble
HDZ-052-S50	warble
HDZ-176-S51	culi
HDZ-182-S52	culi
HDZ-041-S53	warble
HDZ-051-S54	warble
HDZ-107-S55	warble
HDZ-191-S56	warble
HDZ-101-S57	warble
HDZ-168-S58	culi
HDZ-190-S59	culi
HDZ-108-S60	culi
HDZ-175-S61	culi
HDZ-188-S62	warble
HDZ-058-S63	culi
HDZ-089-S64	culi
HDZ-093-S65	warble
HDZ-094-S66	culi
HDZ-155-S67	warble
HDZ-156-S68	culi
HDZ-104-S69	warble
HDZ-193-S70	warble
HDZ-187-S71	culi
HDZ-099-S72	warble
HDZ-186-S73	warble
HDZ-181-S74	culi
HDZ-192-S75	culi
HDZ-196-S76	culi
HDZ-161-S77	warble
HDZ-087-S78	culi
HDZ-071-S79	culi
HDZ-060-S80	culi
HDZ-219-S81	culi
HDZ-163-S82	culi
HDZ-106-S83	warble
HDZ-183-S84	warble
HDZ-220-S85	culi
HDZ-199-S86	warble
HDZ-194-S87	warble
HDZ-198-S88	culi
HDZ-217-S89	warble
HDZ-221-S90	culi
HDZ-097-S91	culi
HDZ-085-S92	culi
HDZ-002-S93	warble
HDZ-036-S94	warble
HDZ-096-S95	warble
HDZ-102-S96	culi
HDZ-105-S97	warble
HDZ-179-S98	culi
HDZ-180-S99	culi
HDZ-200-S100	warble
HDZ-205-S101	warble
HDZ-207-S102	warble
HDZ-208-S103	warble
HDZ-209-S104	warble
HDZ-210-S105	warble
HDZ-211-S106	culi
HDZ-213-S107	unknown
HDZ-215-S108	culi
HDZ-222-S109	culi
HDZ-301-S110	culi
HDZ-302-S111	warble
HDZ-303-S112	warble
HDZ-304-S113	warble
HDZ-305-S114	culi
HDZ-306-S115	warble
HDZ-307-S116	warble
HDZ-308-S117	culi
HDZ-309-S118	warble
HDZ-310-S119	culi
HDZ-311-S120	culi
HDZ-312-S121	warble
HDZ-223-S122	warble
HDZ-224-S123	culi
HDZ-226-S124	culi
HDZ-313-S125	warble
HDZ-314-S126	culi
HDZ-315-S127	warble
HDZ-227-S128	culi
HDZ-228-S129	warble
HDZ-229-S130	culi
HDZ-320-S131	culi
HDZ-321-S132	culi
HDZ-322-S133	culi
HDZ-323-S134	warble
HDZ-324-S135	culi
HDZ-325-S136	warble
HDZ-326-S137	culi
HDZ-327-S138	culi
HDZ-206-S139	unknown
HDZ-240-S140	culi
HDZ-241-S141	culi
HDZ-242-S142	warble
HDZ-243-S143	culi
HDZ-244-S144	warble
HDZ-245-S145	culi
HDZ-246-S146	warble
HDZ-247-S147	warble
HDZ-248-S148	warble
HDZ-249-S149	culi
HDZ-250-S150	culi
HDZ-251-S151	warble
HDZ-252-S152	culi
HDZ-253-S153	culi
HDZ-254-S154	culi
HDZ-317-S155	culi
HDZ-318-S156	culi
HDZ-319-S157	culi
HDZ-328-S158	culi
HDZ-336-S159	culi
HDZ-337-S160	warble
HDZ-338-S161	warble
HDZ-258-S162	culi
HDZ-259-S163	warble
HDZ-260-S164	warble
HDZ-262-S165	culi
HDZ-263-S166	culi
HDZ-264-S167	culi
HDZ-332-S168	warble
HDZ-333-S169	warble
HDZ-341-S170	culi
HDZ-342-S171	culi
HDZ-343-S172	warble
HDZ-349-S173	warble
HDZ-350-S174	culi
HDZ-351-S175	warble
HDZ-352-S176	culi
HDZ-354-S177	culi
HDZ-355-S178	warble
HDZ-356-S179	warble
HDZ-357-S180	culi
HDZ-358-S181	culi
HDZ-359-S182	warble
HDZ-360-S183	warble
HDZ-361-S184	culi
HDZ-035-S185	culi
HDZ-037-S186	culi
HDZ-040-S187	culi
HDZ-042-S188	culi
HDZ-044-S189	warble
HDZ-047-S190	culi
HDZ-053-S191	culi
HDZ-054-S192	culi
HDZ-069-S193	culi
HDZ-073-S194	warble
HDZ-164-S195	warble
HDZ-165-S196	warble
HDZ-166-S197	culi
HDZ-167-S198	culi
HDZ-178-S199	warble
HDZ-189-S200	warble
HDZ-195-S201	warble
HDZ-197-S202	culi
HDZ-203-S203	culi
HDZ-218-S204	warble
HDZ-265-S205	warble
HDZ-415-S206	warble
HDZ-420-S207	warble
